,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,40000,1000,0.5,50,2,50,5,0.466463264,0.46323135,0.403634378,0.394548153,0.418952423,0.403809684,0.553527061,0.415232409,0.537320947,0.450428772,0.656392339,0.768814234,,,,
0,40000,1000,0.5,50,3,50,5,0.460422594,0.454639184,0.391990352,0.380359798,0.413716737,0.396765785,0.530792549,0.42630852,0.54164987,0.46120069,0.646112019,0.756515576,,,,
0,40000,1000,0.5,50,4,50,5,0.452509424,0.446974079,0.380067733,0.371553449,0.409977218,0.382784577,0.509708957,0.424248685,0.539863537,0.460386061,0.64300428,0.756279757,,,,
0,40000,1000,0.5,50,5,50,5,0.442573279,0.437187264,0.372399393,0.359578882,0.400250985,0.371383349,0.484811817,0.415704587,0.541860391,0.463267876,0.623268715,0.744264495,,,,
____,AlLLL,,,,,,,,Distance of Subject from the Verb.,,,,,,,,,,,,,,
,,,,,,,,Look Back,Loss 0,Loss 1,Loss 2,Loss 3,Loss 4,Loss 5,Loss 6,Loss 7,Loss 8,Loss 9,Loss 10,,,Look Back,Loss overall
,,,,,,,,0,0.4901,0.5815,0.5111,0.5141,0.5183,0.6151,0.4577,0.6323,0.5288,0.4593,0.8133,,,0,0.5449
,,,,,,,,1,0.4717,0.4725,0.4393,0.4495,0.4593,0.5925,0.4370,0.5706,0.4727,0.6153,0.8493,,,1,0.5021
,,,,,,,,2,0.4632,0.4036,0.3945,0.4190,0.4038,0.5535,0.4152,0.5373,0.4504,0.6564,0.7688,,,2,0.4665
,,,,,,,,3,0.4546,0.3920,0.3804,0.4137,0.3968,0.5308,0.4263,0.5416,0.4612,0.6461,0.7565,,,3,0.4604
,,,,,,,,4,0.4470,0.3801,0.3716,0.4100,0.3828,0.5097,0.4242,0.5399,0.4604,0.6430,0.7563,,,4,0.4525
,,,,,,,,5,0.4372,0.3724,0.3596,0.4003,0.3714,0.4848,0.4157,0.5419,0.4633,0.6233,0.7443,,,5,0.4426
,,,,,,,,6,0.4340,0.3688,0.3619,0.4004,0.3692,0.4792,0.4161,0.5424,0.4624,0.6307,0.7487,,,6,0.4417
,,,,,,,,7,0.4335,0.3644,0.3615,0.3994,0.3671,0.4780,0.4177,0.5437,0.4640,0.6447,0.7479,,,7,0.4415
,,,,,,,,8,0.4325,0.3615,0.3616,0.3993,0.3646,0.4738,0.4196,0.5437,0.4644,0.6442,0.7512,,,8,0.4407
,,,,,,,,9,0.4313,0.3594,0.3620,0.3970,0.3638,0.4703,0.4199,0.5448,0.4674,0.6409,0.7550,,,9,0.4400
,,,,,,,,10,0.4314,0.3585,0.3632,0.3961,0.3644,0.4709,0.4218,0.5467,0.4702,0.6441,0.7596,,,10,0.4410
,,,,,,,,,,,,,,,,,,,,,,,
